# Shifts applied 
# 0	 0 
# 1	 -1 
# 2	 -2 
# 3	 -3 
# 4	 -4 
# 5	 -5 
# 6	 -6 
# 7	 -6 
# 8	 -8 
# 9	 -10 

-80      4.804088
-78      4.739119
-76      5.003177
-74      4.494340
-72      5.061462
-70      5.486084
-68      5.203781
-66      5.460730
-64      7.319375
-62      5.724816
-60      6.122590
-58      5.532340
-56      4.677323
-54      4.147139
-52      6.031714
-50      5.169658
-48      2.946580
-46      5.108422
-44      5.787709
-42      4.551878
-40      6.475845
-38      5.477303
-36      6.782745
-34      5.830404
-32      4.278609
-30      4.806293
-28      4.589107
-26      4.239232
-24      5.225604
-22      4.451090
-20      4.279491
-18      5.273882
-16      4.160540
-14      5.243964
-12      7.411695
-10      9.824878
-8      15.672477
-6      19.214638
-4      27.096645
-2      32.376691
 0      35.187429
 2      31.031222
 4      26.361837
 6      20.397784
 8      14.222318
 10     10.637095
 12      7.488575
 14      6.152723
 16      6.244558
 18      5.569728
 20      6.334157
 22      3.516745
 24      5.658888
 26      4.336610
 28      6.395438
 30      3.187859
 32      6.262027
 34      5.043570
 36      5.905267
 38      6.129671
 40      5.299561
 42      4.316834
 44      4.549398
 46      3.837130
 48      6.185558
 50      5.186569
 52      2.706896
 54      5.139530
 56      5.684735
 58      4.599943
 60      4.747840
 62      4.749042
 64      4.841394
 66      6.178732
 68      4.580016
 70      4.904270
 72      4.383370
 74      4.742169
 76      4.982736
 78      4.559391
 80      4.418782
 82      3.646408
 84      4.494650
 86      4.020509
 88      5.608352
 90      5.280019
 92      5.716102
 94      5.292277
 96      4.998555
 98      4.880592
 100     5.790728
 102     4.470148
 104     4.937787
 106     5.833208
 108     5.802369
 110     4.276677
 112     5.589944
 114     5.411942
 116     2.854768
 118     7.313301
 120     5.853845
 122     4.489508
 124     4.928749
 126     4.269161
 128     4.463502
 130     4.787979
 132     6.439767
 134     3.079714
 136     6.022546
 138     3.553043
 140     5.179010
 142     4.438847
 144     3.554574
 146     5.304308
 148     7.104909
 150     5.564632
 152     6.335895
 154     4.446956
 156     3.769644
 158     4.956162
 160     6.553199
 162     4.343645
 164     3.757107
 166     5.069500
 168     4.828834
 170     4.518497
 172     6.357709
 174     5.018809
 176     5.257219
 178     9.214304
 180     6.812511
 182     8.909525
 184    13.134173
 186    14.907028
 188    17.526385
 190    25.235459
 192    29.676853
 194    35.289531
 196    44.014341
 198    53.395776
 200    60.290753
 202    69.496306
 204    76.816683
 206    82.953982
 208    89.340256
 210    91.817221
 212    92.250770
 214    89.330443
 216    84.286122
 218    79.149738
 220    70.152799
 222    61.669809
 224    52.617883
 226    45.916094
 228    35.339772
 230    29.296432
 232    23.531596
 234    17.085490
 236    15.154439
 238    10.185609
 240     8.742128
 242     5.850636
 244     6.436773
 246     7.508751
 248     5.880308
 250     5.336114
 252     4.770328
 254     5.901392
 256     6.128922
 258     3.173397
 260     6.349677
 262     5.589745
 264     5.055201
 266     3.605522
 268     5.482604
 270     5.104543
 272     4.355201
 274     4.832745
 276     6.275162
 278     5.943425
 280     4.286993
 282     5.783442
 284     3.409323
 286     5.766983
 288     4.942219
 290     4.656667
 292     3.363268
 294     5.677381
 296     5.821801
 298     5.349358
 300     6.715387
 302     4.900829
 304     5.729996
 306     5.408191
 308     4.630695
 310     4.067388
 312     4.071385
 314     5.224050
 316     5.311388
 318     4.926941
